cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Mural	organic_ED_vs_normal	ENTPD1	up_in_ED	1.14829420919238	5.84246669698034	0.000339046182955	0.0489504772281682	3	5	4.929698917729676	6.148355590763583	1.218656673033907	5	1.0	5	N1__Mural:5.216;N2__Mural:4.540;N3__Mural:5.033	DMED1__Mural:6.013;DMED2__Mural:6.041;ED1__Mural:6.019;ED2__Mural:6.340;ED3__Mural:6.329
Mural	organic_ED_vs_normal	RERGL	up_in_ED	1.08869233815355	10.1747093226149	0.0003393201149507	0.0489504772281682	3	5	9.354793115421842	10.477886887703875	1.1230937722820329	5	1.0	5	N1__Mural:9.179;N2__Mural:9.783;N3__Mural:9.102	DMED1__Mural:10.515;DMED2__Mural:10.036;ED1__Mural:10.353;ED2__Mural:10.798;ED3__Mural:10.687
Mural	organic_ED_vs_normal	KIAA1671	up_in_ED	1.29381480312251	4.3677811390753	0.0003403646170508	0.0489504772281682	3	5	3.3145142458237604	4.627536021520891	1.3130217756971305	5	1.0	5	N1__Mural:2.645;N2__Mural:3.607;N3__Mural:3.691	DMED1__Mural:4.457;DMED2__Mural:4.850;ED1__Mural:4.326;ED2__Mural:4.621;ED3__Mural:4.884
Mural	organic_ED_vs_normal	HABP4	up_in_ED	0.894055348576414	5.91330233790483	0.0003406552279343	0.0489504772281682	3	5	5.241022655295148	6.154554181614435	0.9135315263192867	5	1.0	5	N1__Mural:4.898;N2__Mural:5.618;N3__Mural:5.207	DMED1__Mural:6.105;DMED2__Mural:6.307;ED1__Mural:6.007;ED2__Mural:6.134;ED3__Mural:6.219
Mural	organic_ED_vs_normal	CRIP2	up_in_ED	0.893722470487493	9.11497336272856	0.000341279000837	0.0489504772281682	3	5	8.458838490094037	9.378265735846844	0.9194272457528072	5	1.0	5	N1__Mural:8.163;N2__Mural:8.581;N3__Mural:8.632	DMED1__Mural:9.520;DMED2__Mural:9.336;ED1__Mural:9.329;ED2__Mural:9.248;ED3__Mural:9.459
Mural	organic_ED_vs_normal	EPB41L4A-AS1	down_in_ED	-0.856025971367938	6.45543147669593	0.0003530757253902	0.0499672766572255	3	5	6.9020958071827545	6.0593744549264965	-0.842721352256258	5	1.0	5	N1__Mural:6.753;N2__Mural:6.951;N3__Mural:7.003	DMED1__Mural:6.171;DMED2__Mural:6.002;ED1__Mural:5.575;ED2__Mural:6.182;ED3__Mural:6.367
Mural	organic_ED_vs_normal	WFDC1	up_in_ED	1.56394478700601	6.98898558015674	0.0003616396260432	0.0505058288266201	3	5	5.778428138221936	7.291774237721976	1.5133460995000396	5	1.0	5	N1__Mural:5.718;N2__Mural:5.618;N3__Mural:6.000	DMED1__Mural:7.373;DMED2__Mural:7.896;ED1__Mural:7.479;ED2__Mural:6.664;ED3__Mural:7.046
Mural	organic_ED_vs_normal	MAN1A1	down_in_ED	-1.17566566715281	5.20001079872446	0.0003740256144173	0.0515572450834503	3	5	5.806943762817497	4.56620952951237	-1.240734233305127	5	1.0	5	N1__Mural:5.477;N2__Mural:6.014;N3__Mural:5.930	DMED1__Mural:5.004;DMED2__Mural:4.592;ED1__Mural:4.326;ED2__Mural:3.907;ED3__Mural:5.002
Mural	organic_ED_vs_normal	S100A4	down_in_ED	-1.88404806620807	9.90014424315752	0.0003857859914604	0.0515996377999656	3	5	10.48466981249402	8.8668511540501	-1.6178186584439214	5	1.0	5	N1__Mural:11.356;N2__Mural:9.533;N3__Mural:10.564	DMED1__Mural:9.133;DMED2__Mural:8.968;ED1__Mural:8.552;ED2__Mural:8.533;ED3__Mural:9.149
Mural	organic_ED_vs_normal	NEXN	up_in_ED	1.18576553548723	8.904257826858	0.0003889063919631	0.0515996377999656	3	5	8.019247416723895	9.201301613125915	1.1820541964020208	5	1.0	5	N1__Mural:7.878;N2__Mural:8.302;N3__Mural:7.878	DMED1__Mural:8.892;DMED2__Mural:9.629;ED1__Mural:8.772;ED2__Mural:9.394;ED3__Mural:9.319
