cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	group_summary
Mural	diabetic_ED_vs_normal	DNAH11	down_in_ED	-4.77839937046901	2.64346245408907	1.55083464756083e-05	0.0310333164396307	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	DUSP5	up_in_ED	3.55450969066455	3.06854494695888	1.64364031462581e-05	0.0310333164396307	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	GSC	down_in_ED	-2.86957169753249	3.85077548200592	1.66103438100939e-05	0.0310333164396307	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	ABCC9	down_in_ED	-2.62902657458597	5.78906361300208	2.00171243323662e-05	0.0310333164396307	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	NEDD9	up_in_ED	2.49971800091054	4.51986248485124	2.08938362101967e-05	0.0310333164396307	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	GUCY1A2	down_in_ED	-2.18078661550501	4.69332936504694	3.46122988486715e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	THBD	up_in_ED	2.17043042738684	4.78569242588846	3.81269277455662e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	CSGALNACT1	down_in_ED	-2.42304157661403	5.33673365970254	4.84254189604274e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	KCNJ8	down_in_ED	-2.13391638748164	4.60987149391216	5.9005042363605e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	THBS1	up_in_ED	3.57087971665322	6.17077743294554	5.91198562409889e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	HSPB8	up_in_ED	2.360683049453	5.69135803225016	7.4245287909113e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	HBEGF	up_in_ED	3.92814587198095	3.58082423573517	7.54996383347423e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	COLEC11	down_in_ED	-3.44005928880552	3.44435200812006	7.69662145680674e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	CSPG4	up_in_ED	1.9713456920937	5.64218762089603	7.82822434484539e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	DLX5	down_in_ED	-2.24255648477894	5.87572693971258	8.03409485428159e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	DLX6	down_in_ED	-2.23911278823824	4.38425994819711	8.6520277010623e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	FABP4	down_in_ED	-2.655249452053	6.05963708585053	8.70247870027822e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	ADAMTS9	up_in_ED	2.4411799409653	4.17007507079832	8.72082432538655e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	BTC	up_in_ED	2.59609802545093	3.47473547862915	8.91287710291026e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	HIC1	down_in_ED	-1.95553659570981	5.84612895507901	9.20539132228502e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	NR4A3	up_in_ED	4.67005139925669	5.56741171515977	9.23960656959412e-05	0.0417670389148131	normal=3;diabetic_ED=2
Mural	diabetic_ED_vs_normal	MAP3K7CL	up_in_ED	2.38814383147254	4.47243771001026	9.93602889307232e-05	0.043043705167197	normal=3;diabetic_ED=2
Mural	organic_ED_vs_normal	GSC	down_in_ED	-2.61605131725057	3.43654702541587	7.17631125204713e-07	0.0075136225811442	normal=3;organic_ED=5
Mural	organic_ED_vs_normal	DNAH11	down_in_ED	-4.05046752738064	2.0539406121885	1.4157947203965e-06	0.0075136225811442	normal=3;organic_ED=5
Mural	organic_ED_vs_normal	GGT5	down_in_ED	-2.16208910719408	7.14248516660606	3.60436697648672e-06	0.01275225036281	normal=3;organic_ED=5
